NOMBRE DEL DISPOSITIVO;SITIO;NÚMERO DE SERIE;DIRECCIÓN IP;DIRECCIÓN IP PÚBLICA;ESTADO;MODELO;VERSIÓN;MAC DE AP DE ENLACE ASCENDENTE;SALTO;Grupo WLAN
1C-61-B4-F2-EE-65;Bacar;2,22752E+12;192.168.0.118;192.168.0.118;DESCONECTADO;SG2428P v5.20;5.20.11;--;--;--
3C-6A-D2-CA-29-5D;Bacar;2,25364E+12;192.168.0.121;192.168.0.121;DESCONECTADO;SG2218 v1.20;1.20.1;--;--;--
5C-62-8B-73-AD-5C;Bacar;22343H1000867;192.168.0.205;192.168.0.205;DESCONECTADO;SG3428XMP v3.20;3.20.12;--;--;--
EAP Adm 1;Bacar;--;192.168.0.146;192.168.0.146;DESCONECTADO;EAP653(US) v1.0;1.1.3;--;0 (PA raíz);WIFI_Planta
EAP Adm 2;Bacar;--;192.168.0.248;192.168.0.248;DESCONECTADO;EAP653(US) v1.0;1.1.3;--;0 (PA raíz);WIFI_Planta
EAP Monitoreo;Bacar;--;192.168.0.182;192.168.0.182;DESCONECTADO;EAP650(US) v1.0;1.1.3;BC-07-1D-13-86-54;1;WIFI_Planta
EAP SIS;Bacar;--;192.168.0.250;192.168.0.250;DESCONECTADO;EAP653(US) v1.0;1.1.3;--;0 (PA raíz);WIFI_Planta
EAP SIS DEV;Bacar;--;192.168.0.103;192.168.0.103;DESCONECTADO;EAP653(US) v1.0;1.1.2;--;0 (PA raíz);WIFI_Planta
EAP Tes;Bacar;--;192.168.0.185;192.168.0.185;DESCONECTADO;EAP650(US) v1.0;1.1.3;--;0 (PA raíz);WIFI_Planta
EAPOLmos;Bacar;--;192.168.0.242;192.168.0.242;DESCONECTADO;EAP653(US) v1.0;1.1.3;--;0 (PA raíz);WIFI_Planta
EAPOlmosGer;Bacar;--;192.168.0.183;192.168.0.183;DESCONECTADO;EAP670(US) v2.0;1.1.1;--;0 (PA raíz);WIFI_Planta
EAPOlmosSala;Bacar;--;192.168.0.167;192.168.0.167;DESCONECTADO;EAP670(US) v2.0;1.1.1;--;0 (PA raíz);WIFI_Planta
RTP02;Bacar;--;192.168.0.2;192.168.0.2;DESCONECTADO;ER7206 v1.0;1.3.0;--;--;--
TPS ADM 1A;Bacar;22433R8000784;192.168.0.134;192.168.0.134;DESCONECTADO;SG3428MP v6.20;6.20.12;--;--;--
TPS ADM 2A;Bacar;2,24646E+12;192.168.0.218;192.168.0.218;DESCONECTADO;SG3428X-M2 v1.20;1.20.10;--;--;--
TPS OLMOS 1;Bacar;2,24646E+12;192.168.0.173;192.168.0.173;DESCONECTADO;SG3428X-M2 v1.20;1.20.10;--;--;--
TPS OPER;Bacar;22343H1000266;192.168.0.203;192.168.0.203;DESCONECTADO;SG3428XMP v3.20;3.20.12;--;--;--
TPS Olmos 2;Bacar;2,22634E+12;192.168.0.156;192.168.0.156;DESCONECTADO;TL-SG3428XMP v2.0;2.0.15;--;--;--
TPS RED Moni 1;Bacar;2,24646E+12;192.168.0.140;192.168.0.140;DESCONECTADO;SG3428X-M2 v1.20;1.20.0;--;--;--
TPS Sis 1;Bacar;2,24321E+12;192.168.0.247;192.168.0.247;DESCONECTADO;SG3428X-M2 v1.20;1.20.10;--;--;--
